Simulation,Final Price
1,78.3865
2,81.8255
3,70.6638
4,88.7007
5,133.702
6,84.7843
7,115.133
8,108.082
9,79.3929
10,106.202
11,76.0628
12,77.755
13,103.285
14,72.5403
15,89.9972
16,116.993
17,103.278
18,95.0223
19,122.837
20,88.2598
21,83.5825
22,102.37
23,94.8737
24,85.9219
25,136.787
26,101.936
27,98.0484
28,107.388
29,98.1579
30,126.064
31,123.446
32,125.322
33,116.347
34,106.629
35,93.9962
36,115.78
37,102.732
38,110.21
39,124.893
40,110.049
41,81.0429
42,81.062
43,101.503
44,95.4967
45,84.0028
46,148.72
47,103.068
48,114.692
49,83.8687
50,89.4164
51,84.3996
52,108.074
53,98.4663
54,116.865
55,115.309
56,124.645
57,128.463
58,95.9819
59,101.545
60,86.5985
61,103.667
62,91.6335
63,117.249
64,117.213
65,156.833
66,113.815
67,102.941
68,69.5872
69,102.847
70,131.065
71,118.802
72,78.1135
73,103.395
74,108.873
75,99.9791
76,132.336
77,76.1788
78,86.9645
79,97.7735
80,122.688
81,83.1511
82,135.739
83,86.3496
84,97.6912
85,96.4844
86,98.4294
87,115.129
88,99.9067
89,152.397
90,104.813
91,103.476
92,109.008
93,102.214
94,98.0302
95,100.375
96,97.3813
97,102.93
98,100.637
99,101.466
100,99.4021
101,78.42
102,100.544
103,114.333
104,150.238
105,118.214
106,122.386
107,78.0136
108,98.1413
109,109.41
110,104.077
111,127.159
112,81.9194
113,102.644
114,99.6998
115,70.0568
116,92.0516
117,106.231
118,108.592
119,103.898
120,82.043
121,132.57
122,94.7499
123,107.813
124,101.021
125,107.993
126,101.758
127,135.91
128,110.55
129,105.707
130,81.8182
131,146.375
132,80.2255
133,78.2483
134,138.78
135,110.744
136,105.751
137,100.057
138,104.93
139,87.6213
140,95.4284
141,106.421
142,79.6147
143,83.5446
144,106.074
145,94.9593
146,114.649
147,160.594
148,159.159
149,113.225
150,155.865
151,119.019
152,92.0499
153,130.532
154,75.2496
155,90.5712
156,121.345
157,121.835
158,151.713
159,78.1013
160,122.563
161,95.4536
162,109.293
163,97.9655
164,73.7182
165,99.5395
166,125.769
167,107.262
168,98.8895
169,106.148
170,71.4373
171,82.0266
172,95.655
173,119.58
174,97.1025
175,102.947
176,119.893
177,93.3501
178,121.718
179,83.0232
180,135.125
181,134.022
182,123.948
183,101.515
184,85.0214
185,73.1602
186,94.3685
187,100.402
188,88.8537
189,95.9986
190,94.5683
191,64.9058
192,99.6024
193,122.678
194,82.7217
195,93.701
196,90.3371
197,86.3568
198,112.588
199,125.965
200,110.464
201,98.7107
202,78.1201
203,93.9116
204,107.725
205,81.7929
206,84.1758
207,100.956
208,69.9718
209,119.438
210,136.095
211,112.253
212,103.674
213,151.565
214,86.3159
215,100.431
216,98.1203
217,106.442
218,94.5143
219,104.129
220,64.9821
221,104.233
222,137.491
223,87.8088
224,92.9239
225,76.9482
226,100.707
227,105.456
228,98.2338
229,79.6414
230,120.58
231,90.8397
232,88.3411
233,118.4
234,116.751
235,127.536
236,119.386
237,96.3138
238,133.576
239,124.688
240,112.215
241,97.5162
242,97.0409
243,98.3722
244,85.1496
245,103.128
246,136.594
247,89.4567
248,112.359
249,70.2422
250,105.671
251,85.4386
252,119.005
253,93.6278
254,116.838
255,94.3487
256,122.571
257,94.9499
258,111.709
259,102.102
260,92.8909
261,94.3761
262,116.317
263,100.514
264,107.769
265,106.544
266,115.436
267,107.748
268,94.2407
269,98.7729
270,109.715
271,142.022
272,77.3704
273,91.0975
274,87.9034
275,95.9432
276,101.136
277,135.244
278,76.5206
279,106.493
280,95.4421
281,92.8568
282,123.121
283,108.924
284,120.89
285,81.5876
286,102.049
287,124.733
288,92.2455
289,117.019
290,93.8899
291,96.7117
292,116.049
293,106.408
294,80.1203
295,120.861
296,81.1728
297,107.926
298,172.514
299,140.819
300,89.8479
301,118.358
302,92.6944
303,109.577
304,127.156
305,114.993
306,83.6099
307,80.5373
308,100.324
309,125.872
310,99.4843
311,160.62
312,105.435
313,92.949
314,95.6519
315,86.4718
316,103.307
317,112.928
318,104.694
319,109.344
320,90.9097
321,140.602
322,114.258
323,109.846
324,105.658
325,109.399
326,71.0542
327,111.573
328,82.9945
329,83.3118
330,81.9854
331,85.6769
332,112.488
333,108.966
334,117.524
335,97.6065
336,101.144
337,130.371
338,100.93
339,121.044
340,103.977
341,107.562
342,91.6782
343,71.4817
344,107.995
345,115.161
346,110.419
347,87.0362
348,106.103
349,114.752
350,85.6801
351,110.561
352,121.783
353,104.694
354,114.082
355,118.957
356,86.3336
357,96.7683
358,97.8355
359,105.506
360,96.7925
361,102.354
362,64.2082
363,79.6763
364,89.1
365,85.6254
366,72.4676
367,95.407
368,68.6274
369,118.995
370,129.807
371,73.9939
372,79.6509
373,80.9758
374,78.6972
375,98.223
376,115.018
377,84.1738
378,130.307
379,114.448
380,61.0177
381,78.5217
382,86.8646
383,91.7599
384,82.5427
385,93.7447
386,78.2793
387,65.0112
388,137.4
389,91.1169
390,70.7014
391,118.531
392,96.0016
393,82.2114
394,125.767
395,71.8373
396,95.5978
397,123.709
398,84.8475
399,81.5176
400,101.477
401,104.794
402,100.239
403,140.471
404,122.556
405,86.115
406,114.077
407,115.701
408,137.349
409,113.88
410,120.939
411,83.7709
412,133.385
413,101.331
414,89.4244
415,82.7405
416,93.4284
417,100.891
418,93.6885
419,94.0849
420,97.302
421,83.2089
422,105.179
423,107.695
424,153.295
425,139.398
426,91.7928
427,96.2274
428,76.7093
429,106
430,110.869
431,88.798
432,79.6535
433,102.116
434,132.733
435,93.2278
436,112.626
437,91.9549
438,136.055
439,126.803
440,116.057
441,84.5183
442,135.057
443,100.462
444,74.4312
445,100.887
446,99.6451
447,110.091
448,95.1172
449,79.8175
450,152.644
451,90.8755
452,94.0501
453,131.819
454,122.08
455,99.5706
456,124.886
457,86.8663
458,114.683
459,99.4912
460,139.786
461,101.783
462,132.387
463,98.9031
464,90.4714
465,135.71
466,93.2689
467,91.438
468,152.555
469,129.76
470,106.894
471,117.152
472,105.584
473,85.2938
474,76.195
475,96.0355
476,133.259
477,112.076
478,83.2358
479,119.711
480,110.392
481,88.2178
482,72.0774
483,101.381
484,126.589
485,104.605
486,123.773
487,75.0894
488,97.8673
489,99.3161
490,86.9677
491,98.232
492,75.3305
493,75.9994
494,125.377
495,110.594
496,76.6511
497,101.76
498,89.2202
499,89.7696
500,136.821
501,86.5102
502,128.77
503,118.184
504,158.009
505,126.896
506,101.936
507,135.073
508,134.311
509,120.401
510,97.0935
511,109.415
512,86.5083
513,115.204
514,108.952
515,109.956
516,83.4823
517,127.401
518,101.957
519,123.366
520,82.8404
521,95.2748
522,99.1659
523,117.763
524,117.795
525,89.8104
526,99.9866
527,132.653
528,106.127
529,84.7174
530,87.6326
531,86.477
532,101.644
533,120.894
534,108.996
535,79.664
536,95.3111
537,84.8022
538,111.7
539,94.8143
540,104.149
541,95.1838
542,92.3242
543,93.6503
544,87.5379
545,131.079
546,59.382
547,107.437
548,106.06
549,112.559
550,87.1639
551,73.0388
552,89.4892
553,86.1043
554,94.5864
555,104.924
556,83.3897
557,107.352
558,93.4911
559,109.251
560,91.2658
561,122.07
562,70.3215
563,106.301
564,86.6453
565,112.428
566,107.3
567,103.717
568,96.5587
569,96.997
570,96.4394
571,89.9338
572,61.8892
573,71.9813
574,96.5438
575,116.619
576,171.655
577,101.299
578,102.791
579,91.0443
580,112.238
581,81.2766
582,122.643
583,123.709
584,70.3012
585,120.686
586,103.323
587,107.877
588,66.6172
589,80.478
590,116.141
591,93.3735
592,87.2618
593,93.335
594,102.012
595,93.0561
596,91.7052
597,120.811
598,100.932
599,102.472
600,90.2015
601,115.476
602,64.977
603,89.0677
604,144.026
605,95.5443
606,121.66
607,131.227
608,83.7547
609,90.2571
610,112.544
611,103.448
612,118.182
613,101.235
614,94.1955
615,159.372
616,61.3632
617,79.5537
618,114.558
619,127.656
620,97.087
621,111.427
622,223.454
623,114.783
624,112.413
625,117.416
626,151.756
627,89.3033
628,125.222
629,95.1804
630,129.185
631,66.6048
632,117.948
633,99.1398
634,112.415
635,106.243
636,122.678
637,97.9674
638,77.0282
639,93.6904
640,129.944
641,115.199
642,72.1166
643,119.875
644,88.3889
645,113.86
646,108.675
647,106.08
648,88.138
649,82.5675
650,123.518
651,84.939
652,79.4141
653,104.759
654,90.9607
655,80.3415
656,102.589
657,101.575
658,115.512
659,101.736
660,87.3433
661,107.992
662,92.4266
663,110.795
664,107.202
665,99.578
666,91.902
667,122.283
668,95.5314
669,86.4651
670,107.69
671,94.0131
672,97.5207
673,127.479
674,123.485
675,113.706
676,94.1355
677,112.092
678,114.004
679,104.785
680,114.193
681,64.6507
682,114.008
683,77.6448
684,113.78
685,125.095
686,90.9294
687,89.7656
688,84.3443
689,118.627
690,116.731
691,97.8637
692,105.215
693,82.7868
694,149.307
695,72.4101
696,132.156
697,82.9112
698,123.619
699,133.797
700,139.826
701,78.2633
702,110.505
703,114.06
704,87.7153
705,85.3318
706,112.268
707,81.87
708,82.0778
709,97.2543
710,105.689
711,93.3239
712,117.879
713,100.725
714,72.3644
715,104.967
716,83.889
717,111.28
718,81.1058
719,113.301
720,92.2462
721,102.272
722,80.3171
723,112.25
724,76.9327
725,120.155
726,97.1402
727,107.45
728,149.472
729,101.687
730,84.9256
731,106.861
732,108.183
733,89.1787
734,99.5361
735,109.997
736,155.552
737,93.0472
738,99.8617
739,97.1305
740,123.662
741,99.3256
742,76.8305
743,96.0726
744,86.1774
745,105.193
746,176.754
747,86.0603
748,101.666
749,108.529
750,122.087
751,130.394
752,86.7717
753,93.8489
754,58.1969
755,89.5492
756,77.3106
757,138.976
758,96.9121
759,104.766
760,88.2949
761,127.731
762,163.958
763,128.373
764,143.19
765,116.267
766,107.732
767,141.888
768,84.3062
769,90.957
770,89.2738
771,114.807
772,87.0672
773,133.012
774,97.625
775,111.745
776,128.718
777,97.6259
778,147.138
779,115.138
780,103.973
781,120.332
782,95.4272
783,95.7542
784,70.284
785,117.845
786,89.2333
787,136.801
788,109.326
789,145.096
790,89.1554
791,116.672
792,114.601
793,112.113
794,91.0809
795,88.7486
796,84.7037
797,97.3969
798,118.423
799,177.411
800,127.41
801,107.62
802,116.613
803,107.063
804,107.931
805,137.34
806,73.9782
807,81.5166
808,87.8762
809,170.49
810,114.094
811,111.585
812,72.153
813,98.3733
814,117.37
815,86.956
816,82.6024
817,97.6551
818,112.436
819,145.316
820,90.1341
821,83.9809
822,97.1689
823,146.815
824,109.425
825,96.8964
826,115.339
827,105.924
828,116.032
829,141.19
830,85.2813
831,105.7
832,102.031
833,120.795
834,106.291
835,118.913
836,80.0409
837,86.7556
838,103.265
839,119.573
840,124.063
841,129.974
842,77.2812
843,89.466
844,104.046
845,128.585
846,126.498
847,139.496
848,90.4496
849,125.851
850,123.695
851,86.0584
852,122.443
853,111.532
854,80.3204
855,107.595
856,92.4703
857,90.1097
858,110.336
859,86.5668
860,92.5876
861,64.3659
862,73.3175
863,82.6466
864,139.744
865,104.284
866,77.1654
867,105.916
868,96.7155
869,115.191
870,93.6105
871,129.981
872,84.8402
873,101.724
874,71.9129
875,84.6604
876,99.4664
877,134.487
878,134.744
879,101.307
880,96.5525
881,137.39
882,111.028
883,99.1153
884,89.1141
885,145.678
886,99.7461
887,138.249
888,121.579
889,77.3511
890,118.933
891,124.254
892,119.34
893,89.5275
894,75.1858
895,88.7326
896,99.3804
897,87.5811
898,67.4025
899,87.1796
900,95.0884
901,120.543
902,130.557
903,132.338
904,66.0055
905,88.0116
906,94.5977
907,110.922
908,70.9958
909,131.44
910,106.084
911,135.717
912,110.838
913,86.8144
914,78.005
915,83.0768
916,114.623
917,132.866
918,84.8201
919,154.835
920,105.342
921,94.7136
922,100.409
923,104.322
924,110.406
925,123.849
926,72.93
927,95.715
928,113.565
929,132.423
930,96.6912
931,95.8566
932,157.656
933,79.3147
934,97.0231
935,124.294
936,148.81
937,65.4869
938,144.483
939,165.782
940,75.7832
941,92.1873
942,121.225
943,137.727
944,108.771
945,105.539
946,115.171
947,145.501
948,123.688
949,138.402
950,121.534
951,110.88
952,82.2923
953,86.9062
954,114.689
955,81.7016
956,110.39
957,112.318
958,83.7325
959,145.783
960,132.574
961,129.186
962,74.6765
963,112.978
964,99.6606
965,87.1285
966,128.628
967,114.896
968,96.2449
969,84.3001
970,118.796
971,108.686
972,134.579
973,73.3809
974,93.8652
975,85.3215
976,100.342
977,171.798
978,183.945
979,83.3215
980,96.6989
981,79.0697
982,88.2469
983,99.6718
984,188.976
985,87.3183
986,111.136
987,86.6884
988,112.33
989,53.6758
990,84.4767
991,80.9798
992,99.9714
993,121.467
994,87.1338
995,82.3277
996,95.6354
997,119.898
998,103.449
999,93.9337
1000,112.489
